X;time;peak;backend
[4, 16, 1, 1];0.001044483549776487;0.47805626509747956;mlir
[4, 16, 1, 1];0.0010420658509247005;0.47916540429649457;tvm
[4, 16, 1, 4];0.0010435657895868644;0.478476689964684;mlir
[4, 16, 1, 4];0.0010375050769653171;0.4812717699872968;tvm
[4, 16, 2, 1];0.0011080596159445122;0.4506272925904639;mlir
[4, 16, 2, 1];0.0011037869844585657;0.4523716186115696;tvm
[4, 16, 2, 4];0.001044829114107415;0.47789815388947066;mlir
[4, 16, 2, 4];0.0010362902976339683;0.4818359352605577;tvm
[4, 16, 4, 1];0.001162526401458308;0.4295144644762823;mlir
[4, 16, 4, 1];0.0011584165767999366;0.4310382937900066;tvm
[4, 16, 4, 4];0.001049803220666945;0.47563380920538917;mlir
[4, 16, 4, 4];0.0010385698114987463;0.4807783735224693;tvm
[4, 16, 8, 1];0.0012188161490485072;0.40967778869004173;mlir
[4, 16, 8, 1];0.0011986057652393356;0.4165856024079786;tvm
[4, 16, 8, 4];0.001040864532114938;0.4797184353542435;mlir
[4, 16, 8, 4];0.0010279989946866408;0.48572217224211417;tvm
[4, 16, 16, 1];0.001320759707596153;0.3780565850776103;mlir
[4, 16, 16, 1];0.0013133017346262932;0.3802034913964302;tvm
[4, 16, 16, 4];0.0010355879785493016;0.48216270862991034;mlir
[4, 16, 16, 4];0.0010307377960998565;0.48443154665644095;tvm
[4, 16, 32, 1];0.0010400580940768123;0.4800903984167522;mlir
[4, 16, 32, 1];0.0010290801874361932;0.48521185312671716;tvm
[4, 16, 32, 4];0.001033499327604659;0.48313713557916194;mlir
[4, 16, 32, 4];0.0010360337619204074;0.48195524423485425;tvm
[4, 16, 64, 1];0.0012589646939886734;0.3966131116671307;mlir
[4, 16, 64, 1];0.0026188795163761824;0.19066241942005435;tvm
[4, 16, 64, 4];0.0010409317474113777;0.47968745885946357;mlir
[4, 16, 64, 4];0.0010624907590681687;0.4699541153655047;tvm
[4, 16, 128, 1];0.0012771907931892201;0.39095326040917405;mlir
[4, 16, 128, 1];0.003315845620818436;0.15058659595818555;tvm
[4, 16, 128, 4];0.001037383932271041;0.48132797244004855;mlir
[4, 16, 128, 4];0.0010530906583881006;0.4741490210597683;tvm
[4, 16, 256, 1];0.001923711912240833;0.25956168467048185;mlir
[4, 16, 256, 1];0.0037670002202503383;0.1325515995665968;tvm
[4, 16, 256, 4];0.0010513379238545895;0.474939497027947;mlir
[4, 16, 256, 4];0.0012220377830090001;0.40859776326427;tvm
[4, 32, 1, 1];0.0007489182535209693;0.6667241750543392;mlir
[4, 32, 1, 1];0.0007343559263972566;0.6799453600266746;tvm
[4, 32, 1, 4];0.0007382315598079003;0.6763757226686926;mlir
[4, 32, 1, 4];0.0007351738095167093;0.6791889187267844;tvm
[4, 32, 2, 1];0.0007601110919495113;0.6569064838683752;mlir
[4, 32, 2, 1];0.0007507522968808189;0.6650954074152791;tvm
[4, 32, 2, 4];0.0007435393854393624;0.6715473511424712;mlir
[4, 32, 2, 4];0.0007188204253907315;0.694640673977074;tvm
[4, 32, 4, 1];0.00079728064883966;0.6262812291864903;mlir
[4, 32, 4, 1];0.0007842712075216696;0.6366699427099757;tvm
[4, 32, 4, 4];0.0007476732134819031;0.6678344171734735;mlir
[4, 32, 4, 4];0.0007391073522740044;0.6755742629614574;tvm
[4, 32, 8, 1];0.0008595792023697868;0.5808910957655987;mlir
[4, 32, 8, 1];0.0008277721208287403;0.6032117924701291;tvm
[4, 32, 8, 4];0.0007292362788575701;0.6847189576801475;mlir
[4, 32, 8, 4];0.0007312186280614696;0.6828626700685331;tvm
[4, 32, 16, 1];0.0007841883198125288;0.6367372379140698;mlir
[4, 32, 16, 1];0.0007466101596946828;0.6687853068676382;tvm
[4, 32, 16, 4];0.00070527772186324;0.7079791255035955;mlir
[4, 32, 16, 4];0.0007227088426589034;0.6909032729208898;tvm
[4, 32, 32, 1];0.000802916445536539;0.6218852628286111;mlir
[4, 32, 32, 1];0.0008082100830506533;0.6178120209502639;tvm
[4, 32, 32, 4];0.0007003848877502605;0.7129250123682712;mlir
[4, 32, 32, 4];0.0007285915926331654;0.6853248236880296;tvm
[4, 32, 64, 1];0.0009264094260288402;0.5389862092641966;mlir
[4, 32, 64, 1];0.0018579239258542657;0.26875261027295216;tvm
[4, 32, 64, 4];0.000737441579985898;0.6771002860612406;mlir
[4, 32, 64, 4];0.0008233501430368051;0.6064514702338302;tvm
[4, 32, 128, 1];0.0009812313364818692;0.5088727664896902;mlir
[4, 32, 128, 1];0.0019003951456397772;0.2627463587809816;tvm
