X;time;peak
[8, 32, 16, 1];0.003708772303070873;0.13463266654263595
[8, 32, 16, 4];0.003619420458562672;0.1379563138569961
[8, 32, 32, 1];0.0038149250322021544;0.13088642648206186
[8, 32, 32, 4];0.0036635431461036205;0.1362948066526693
[8, 32, 64, 1];0.004058215767145157;0.12303976264750556
[8, 32, 64, 4];0.0036911354982294142;0.13527596182839197
[8, 64, 1, 1];0.0036698998301289976;0.13605872854146908
[8, 64, 1, 4];0.0036704481462948024;0.13603840317590482
[8, 64, 2, 1];0.0034770623315125704;0.143604530823781
[8, 64, 2, 4];0.003652384621091187;0.13671120557197158
[8, 64, 4, 1];0.003334822482429445;0.1497296804830657
[8, 64, 4, 4];0.0036312021547928452;0.13750870468691664
[8, 64, 8, 1];0.0032837061444297433;0.15206047155252325
[8, 64, 8, 4];0.0037486894289031625;0.13319905909303414
[8, 64, 16, 1];0.0031829035724513233;0.1568762274432808
[8, 64, 16, 4];0.0037053782725706697;0.13475598657717924
[8, 64, 32, 1];0.003351698920596391;0.1489757632147511
[8, 64, 32, 4];0.00412614643573761;0.12101410178687552
[8, 128, 1, 1];0.0051844988483935595;0.09631054405897341
[8, 128, 1, 4];0.005184441048186272;0.09631161780431235
[8, 128, 2, 1];0.0038286803173832595;0.13041619131658663
[8, 128, 2, 4];0.004785060591530055;0.1043501738819661
[8, 128, 4, 1];0.0034877784200944006;0.14316331045720218
[8, 128, 4, 4];0.00464071671012789;0.10759585985332518
[8, 128, 8, 1];0.003230805159546435;0.1545502994157665
[8, 128, 8, 4];0.004665437445510179;0.10702574208607839
[8, 128, 16, 1];0.002972331567434594;0.16798997468269236
[8, 128, 16, 4];0.004778545233421028;0.10449245123173882
[8, 256, 1, 1];0.004181697906460613;0.11940649849202775
[8, 256, 1, 4];0.0041763478657230735;0.1195594621942381
[8, 256, 2, 1];0.003348247439134866;0.14912933223684377
[8, 256, 2, 4];0.004006786155514419;0.12461905511845275
[8, 256, 4, 1];0.0031543364166282117;0.15829697242491614
[8, 256, 4, 4];0.004077384248375893;0.12246133166399392
[8, 256, 8, 1];0.0031463393825106323;0.15869931499998235
[8, 256, 8, 4];0.004118267446756363;0.1212456236068839
[16, 16, 1, 1];0.0046303762355819345;0.10783614102994186
[16, 16, 1, 4];0.004627165268175304;0.10791097266314188
[16, 16, 2, 1];0.004276755498722196;0.11675250196348415
[16, 16, 2, 4];0.005207488196901977;0.09588536466754928
[16, 16, 4, 1];0.004451786109711975;0.11216215075396116
[16, 16, 4, 4];0.006073523894883692;0.08221288224164743
[16, 16, 8, 1];0.0046031196834519506;0.10847467350391714
[16, 16, 8, 4];0.0061568141099996865;0.08110069523634363
[16, 16, 16, 1];0.004389212292153388;0.11376116522195667
[16, 16, 16, 4];0.00616218545474112;0.08103000281786907
[16, 16, 32, 1];0.004509305988904089;0.11073143095424681
[16, 16, 32, 4];0.0062075251480564475;0.08043816059581177
[16, 16, 64, 1];0.005018729832954705;0.09949168841151511
[16, 16, 64, 4];0.005946653604041785;0.0839668724646293
